name,calories,protein,carbs,fat,sugar,sodium,saturated_fat,fiber
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136.0,1.0,11.38,9.97,11.38,79.0,1.937,0.0
"CREAM SUBSTITUTE,POWDERED",545.0,4.79,54.88,35.48,54.88,181.0,28.470739999999992,0.0
"DESSERT TOPPING,POWDERED",577.0,4.9,52.54,39.92,52.54,122.0,28.470739999999992,0.0
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194.0,3.61,17.13,12.72,17.13,66.0,10.684,0.0
"DESSERT TOPPING,PRESSURIZED",264.0,0.98,16.07,22.3,16.07,62.0,18.912,0.0
"DESSERT TOPPING,SEMI SOLID,FRZ",318.0,1.25,23.05,25.31,23.05,25.0,21.783,0.0
"SOUR CRM,IMITN,CULTURED",208.0,2.4,6.63,19.52,6.63,102.0,17.791,0.0
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61.0,3.15,4.8,3.25,5.05,43.0,1.865,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50.0,3.3,4.8,1.98,5.06,47.0,1.257,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56.0,3.95,5.49,1.98,5.26,59.0,1.232,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42.0,3.37,4.99,0.97,5.2,44.0,0.633,0.0
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,4.96,0.08,5.09,42.0,0.056,0.0
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37.0,3.57,5.02,0.25,5.02,53.0,0.162,0.0
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.0,3.31,4.79,0.88,4.79,105.0,0.548,0.0
"MILK,LO NA,FLUID",61.0,3.1,4.46,3.46,4.46,3.0,2.154,0.0
"MILK,DRY,WHL,W/ ADDED VITAMIN D",496.0,26.32,38.42,26.71,38.42,371.0,16.742,0.0
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362.0,35.62,51.98,0.77,51.98,535.0,0.499,0.0
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358.0,35.1,52.19,0.72,52.19,549.0,0.467,0.0
"MILK,BUTTERMILK,DRIED",387.0,34.3,49.0,5.78,49.0,517.0,3.598,0.0
"MILK,CND,COND,SWTND",321.0,7.91,54.4,8.7,54.4,127.0,5.486,0.0
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134.0,6.81,10.04,7.56,10.04,106.0,4.591,0.0
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78.0,7.55,11.35,0.2,11.35,115.0,0.121,0.0
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83.0,3.17,10.34,3.39,9.54,60.0,2.104,0.0
"MILK,CHOC,FLUID,COMM,RED FAT",76.0,2.99,12.13,1.9,9.55,66.0,1.177,0.0
"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63.0,3.24,10.44,1.0,9.94,61.0,0.616,0.0
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77.0,3.52,10.74,2.34,9.66,44.0,1.431,0.0
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69.0,3.56,4.45,4.14,4.45,50.0,2.667,0.0
"MILK,HUMAN,MATURE,FLUID",70.0,1.03,6.89,4.38,6.89,17.0,2.009,0.0
"MILK SHAKES,THICK CHOC",119.0,3.05,21.15,2.7,20.85,111.0,1.681,0.0
"MILK SHAKES,THICK VANILLA",112.0,3.86,17.75,3.03,17.75,95.0,1.886,0.0
"WHEY,ACID,FLUID",24.0,0.76,5.12,0.09,5.12,48.0,0.057,0.0
"WHEY,ACID,DRIED",339.0,11.73,73.45,0.54,70.0,968.0,0.342,0.0
"WHEY,SWEET,FLUID",27.0,0.85,5.14,0.36,5.14,54.0,0.23,0.0
"WHEY,SWEET,DRIED",353.0,12.93,74.46,1.07,70.0,1079.0,0.684,0.0
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.0,3.47,4.66,3.25,4.66,46.0,2.096,0.0
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.0,5.25,7.04,1.55,7.04,70.0,1.0,0.0
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56.0,5.73,7.68,0.18,7.68,77.0,0.116,0.0
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.0,4.93,13.8,1.25,13.8,66.0,0.806,0.0
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.0,3.98,18.64,1.15,18.64,53.0,0.742,0.0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102.0,4.37,19.05,1.08,19.05,58.0,0.697,0.0
"EGG,WHL,RAW,FRSH",143.0,12.56,0.72,9.51,0.37,142.0,3.126,0.0
"EGG,WHITE,RAW,FRESH",52.0,10.9,0.73,0.17,0.71,166.0,0.0,0.0
"EGG,YOLK,RAW,FRSH",322.0,15.86,3.59,26.54,0.56,48.0,9.551,0.0
"EGG,YOLK,RAW,FROZEN",303.0,15.5,1.15,25.6,0.51,67.0,7.82,0.0
"EGG,WHL,CKD,FRIED",196.0,13.61,0.83,14.84,0.4,207.0,4.323,0.0
"EGG,WHL,CKD,HARD-BOILED",155.0,12.58,1.12,10.61,1.12,124.0,3.267,0.0
"EGG,WHOLE,COOKED,OMELET",154.0,10.57,0.64,11.66,0.31,155.0,3.319,0.0
"EGG,WHL,CKD,POACHED",143.0,12.51,0.71,9.47,0.37,297.0,3.113,0.0
"EGG,WHL,CKD,SCRMBLD",149.0,9.99,1.61,10.98,1.39,145.0,3.331,0.0
