name,calories,protein,carbs,fat,sugar,sodium,saturated_fat,fiber
"OSCAR MAYER,BOLOGNA (BEEF)",316.0,11.05,2.45,29.1,1.4,1179.0,12.85,0.0
"OSCAR MAYER,BOLOGNA (BEEF LIGHT)",200.0,11.75,5.6,14.5,2.3,1151.0,5.82,0.0
"OSCAR MAYER,BOLOGNA (FAT FREE)",79.0,12.6,6.0,0.6,2.2,977.0,0.235,0.0
OSCAR MAYER  BOLOGNA LIGHT (PORK  CHICK  BEEF),202.0,11.5,5.7,14.75,2.6,1117.0,5.62,0.0
OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING),313.0,11.8,2.6,28.4,2.2,827.0,11.14,0.0
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",331.0,14.25,2.6,29.35,1.2,1159.0,10.94,0.0
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SAREN TUBE)",341.0,14.2,2.3,30.6,0.7,1118.0,10.89,0.0
OSCAR MAYER  CHICKEN BREAST (HONEY GLAZED),109.0,19.85,3.95,1.5,4.3,1438.0,0.394,0.0
"OSCAR MAYER,CHICK BREAST (OVEN RSTD,FAT FREE)",85.0,18.3,1.7,0.6,0.9,1242.0,0.17,0.0
OSCAR MAYER  HAM & CHEESE LOAF,234.0,13.85,3.75,18.2,3.3,1167.0,6.561,0.0
"OSCAR MAYER,HAM (CHOPPED W/ NAT JUICE)",180.0,16.3,3.65,11.15,2.2,1249.0,4.056,0.0
OSCAR MAYER  HAM (WATER ADDED  BKD CKD 96% FAT FREE),104.0,16.3,1.83,3.52,1.0,1242.0,0.851,0.0
"OSCAR MAYER,HAM (H2O ,BLD)",104.0,16.6,1.2,3.7,0.3,1348.0,1.247,0.0
"OSCAR MAYER,HAM (H2O ,HONEY)",111.0,16.7,3.1,3.5,3.1,1248.0,1.167,0.0
"OSCAR MAYER,HAM (H2O ,SMOKED,CKD)",99.0,16.6,0.1,3.6,0.1,1214.0,1.222,0.0
"OSCAR MAYER,HAM (40%HAM/WATER PRODUCT,SMOKED,FAT FREE)",72.0,14.6,1.9,0.7,1.1,1084.0,0.221,0.0
"OSCAR MAYER,HEAD CHEESE",185.0,15.7,0.0,13.5,0.0,1073.0,4.299,0.0
"OSCAR MAYER,LIVER CHS,PORK FAT WRAPPED",313.0,15.2,2.6,26.4,1.3,1105.0,9.3,0.0
"OSCAR MAYER,LUNCHEON LOAF (SPICED)",234.0,13.5,7.0,16.9,4.6,1226.0,5.367,0.0
"OSCAR MAYER,OLD FASHIONED LOAF",231.0,13.1,8.0,16.3,4.6,1184.0,5.6,0.0
"OSCAR MAYER,OLIVE LOAF (CHICK,PORK,TURKEY)",263.0,9.9,6.9,21.8,3.2,1318.0,7.02,0.0
"OSCAR MAYER,PICKLE PIMIENTO LOAF (W/CHICK)",269.0,9.6,9.1,21.6,6.9,1275.0,6.99,0.0
"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",343.0,16.3,1.0,30.5,0.9,836.0,10.69,0.0
"OSCAR MAYER,SALAMI BF COTTO",206.0,14.2,1.9,15.7,1.1,1309.0,6.74,0.0
"OSCAR MAYER,SALAMI COTTO (BF,PORK,CHICK)",245.0,13.4,2.2,20.3,1.5,1095.0,8.47,0.0
"OSCAR MAYER,SALAMI (FOR BEER)",225.0,13.5,1.9,18.2,1.1,1231.0,6.388,0.0
"OSCAR MAYER,SALAMI (GENOA)",388.0,20.7,1.2,33.3,0.2,1826.0,12.04,0.0
"OSCAR MAYER,SALAMI (HARD)",368.0,25.9,1.6,28.7,0.2,1976.0,11.085,0.0
"OSCAR MAYER,SNDWCH SPRD (PORK,CHICK,BF)",237.0,6.5,15.4,16.6,7.9,821.0,5.754,0.0
"OSCAR MAYER,SMOKIE LINKS SAUSAGE",302.0,12.4,1.7,27.3,1.6,1007.0,9.38,0.0
OSCAR MAYER  SMOKIES (BEEF),296.0,12.25,1.95,26.65,1.4,967.0,11.25,0.0
"OSCAR MAYER,SMOKIES (CHS)",303.0,12.9,1.8,27.1,1.5,1046.0,10.16,0.0
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)",301.0,12.4,1.8,27.1,1.4,1022.0,9.444,0.0
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",315.0,13.5,1.7,28.2,0.3,1036.0,11.16,0.0
"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",309.0,14.6,1.9,27.0,1.1,1424.0,11.8,0.0
"OSCAR MAYER,SMMR SAUSAGE THURINGER CERVALAT",304.0,14.9,0.9,26.7,0.5,1430.0,10.727,0.0
"OSCAR MAYER,TURKEY BREAST (SMOKED,FAT FREE)",80.0,14.9,3.6,0.6,1.1,1095.0,0.18,0.0
"OSCAR MAYER,WIENERS (PORK,TURKEY)",327.0,10.95,2.7,29.9,1.8,988.0,9.467,0.0
"OSCAR MAYER,WIENERS (BEEF FRANKS)",327.0,11.35,2.35,30.26,1.6,1025.0,12.46,0.0
OSCAR MAYER  WIENERS (BEEF FRANKS  BUN LENGTH),324.0,11.1,2.65,30.1,1.8,1025.0,12.53,0.0
"OSCAR MAYER,WIENERS (BEEF FRANKS,FAT FREE)",78.0,13.2,5.1,0.5,3.8,927.0,0.225,0.0
"OSCAR MAYER,WIENERS (BEEF FRANKS,LIGHT)",193.0,10.7,4.1,14.9,2.1,1079.0,6.32,0.0
"OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)",318.0,12.0,2.8,28.7,1.8,1143.0,10.025,0.0
"OSCAR MAYER,WIENERS (FAT FREE HOT DOGS)",73.0,12.6,4.3,0.6,2.1,974.0,0.2,0.0
"OSCAR MAYER,WIENERS (LIGHT PORK,TURKEY,BEEF)",194.0,12.1,2.8,14.9,1.5,1036.0,5.199,0.0
"OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)",311.0,10.9,2.3,28.7,1.6,1039.0,11.15,0.0
"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",98.0,19.7,3.7,0.5,0.7,1142.0,0.162,0.0
"LOUIS RICH,CHICK BREAST (OVEN RSTD DELUXE)",101.0,18.3,2.5,2.0,1.5,1188.0,0.541,0.0
"LOUIS RICH,CHICK (WHITE,OVEN RSTD)",128.0,17.0,2.3,5.6,1.0,1196.0,1.452,0.0
"LOUIS RICH,FRANKS (TURKEY & CHICK CHEESE)",201.0,12.7,5.1,14.5,1.7,1070.0,5.19,0.0
"LOUIS RICH,FRANKS (TURKEY & CHICKEN)",188.0,11.2,5.3,13.5,1.5,1136.0,3.839,0.0
LOUIS RICH  TURKEY BACON,250.0,15.1,1.7,20.3,1.8,1213.0,5.27,0.0
"LOUIS RICH,TURKEY BOLOGNA",184.0,11.3,4.85,13.2,1.2,1077.0,3.79,0.0
"LOUIS RICH,TURKEY BREAST & WHITE TURKEY (OVEN ROASTED)",99.0,17.1,3.25,2.0,0.8,966.0,0.468,0.0
"LOUIS RICH,TURKEY BREAST&WHITE TURKEY (SMOKED SLICED)",100.0,17.6,2.4,2.3,1.1,919.0,0.63,0.0
"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",102.0,19.3,4.5,0.8,3.9,1180.0,0.234,0.0
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,FAT FREE)",84.0,15.0,4.5,0.7,1.7,1192.0,0.205,0.0
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",90.0,19.1,1.9,0.7,0.4,1177.0,0.207,0.0
"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",94.0,19.7,1.6,1.0,0.3,1201.0,0.3,0.0
"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",93.0,19.3,2.2,0.8,0.6,1288.0,0.234,0.0
"LOUIS RICH,TURKEY HAM (10% H2O)",113.0,18.2,0.9,4.1,0.9,1127.0,1.06,0.0
"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",276.0,14.3,15.4,17.5,0.0,679.0,3.39,0.0
"LOUIS RICH,TURKEY SALAMI",147.0,15.3,0.4,9.4,0.4,1004.0,2.783,0.0
"LOUIS RICH,TURKEY SALAMI COTTO",149.0,15.0,0.9,9.5,0.4,1018.0,2.9,0.0
"LOUIS RICH,TURKEY SMOKED SAUSAGE",161.0,14.8,3.15,9.9,2.8,946.0,2.67,0.0
"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",239.0,13.45,4.66,18.17,2.49,1162.0,5.86,0.0
"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",191.0,15.23,1.35,13.9,1.26,1032.0,4.49,0.0
HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,243.0,30.99,3.78,11.52,0.0,1858.0,3.7,0.0
HORMEL WRANGLER BEEF FRANKS,290.0,12.58,2.11,25.69,1.67,994.0,10.62,0.0
"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",101.0,8.0,11.54,2.5,0.0,796.0,0.85,0.0
"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",109.0,12.5,11.21,1.59,0.0,880.0,0.5,0.0
"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",293.0,12.5,3.4,25.1,0.0,946.0,8.873,0.0
"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",315.0,13.4,4.6,26.6,0.0,1330.0,9.987,0.0
"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",196.0,15.23,1.35,13.9,1.26,1032.0,4.514,0.0
BRATWURST  VEAL  CKD,341.0,13.99,0.0,31.7,0.0,60.0,14.94,0.0
LIVERWURST SPRD,305.0,12.38,5.89,25.45,1.65,700.0,9.925,0.0
ROAST BF SPRD,223.0,15.27,3.73,16.28,0.71,724.0,6.4,0.0
SALAMI  PORK  BF  LESS NA,396.0,15.01,15.38,30.5,6.21,623.0,10.58,0.0
SAUSAGE  ITALIAN  SWT  LINKS,149.0,16.13,2.1,8.42,0.0,570.0,3.257,0.0
SAUSAGE  POLISH  BF W/ CHICK  HOT,259.0,17.6,3.6,19.4,0.0,1540.0,8.01,0.0
SAUSAGE  POLISH  PORK & BF  SMOKED,301.0,12.07,1.98,26.56,0.0,848.0,9.207,0.0
SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,296.0,12.89,2.13,25.84,0.11,848.0,9.482,0.0
SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,426.0,19.43,1.82,37.91,0.12,1483.0,10.47,0.0
SAUSAGE  TURKEY  BRKFST LINKS  MILD,235.0,15.42,1.56,18.09,0.0,585.0,3.839,0.0
SWISSWURST  PORK & BF  W/ SWISS CHS  SMOKED,307.0,12.69,1.6,27.37,0.0,827.0,,0.0
BACON & BF STKS,517.0,29.1,0.8,44.2,0.8,1420.0,16.0,0.0
BRATWURST  BF & PORK  SMOKED,297.0,12.2,2.0,26.34,0.0,848.0,6.08,0.0
"BRATWURST,CHICK,CKD",176.0,19.44,0.0,10.35,0.0,72.0,,0.0
BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,186.0,14.45,1.62,13.53,1.57,982.0,,0.0
PASTRAMI  BF  98% FAT-FREE,95.0,19.6,1.54,1.16,0.0,1010.0,0.0,0.0
SALAMI  ITALIAN  PORK,425.0,21.7,1.2,37.0,1.2,1890.0,13.1,0.0
SAUSAGE  ITALIAN  TURKEY  SMOKED,158.0,15.05,4.65,8.75,3.2,928.0,3.401,0.0
SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,216.0,13.6,8.1,14.3,1.9,1034.0,4.8,0.0
SAUSAGE  TURKEY  HOT  SMOKED,158.0,15.05,4.65,8.75,3.2,928.0,3.77,0.0
"YACHTWURST,W/ PISTACHIO NUTS,CKD",268.0,14.8,1.4,22.6,0.0,936.0,7.9,0.0
BEERWURST  PORK & BF,276.0,14.0,4.27,22.53,0.0,732.0,8.438,0.0
CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,80.0,16.8,2.25,0.39,0.2,1040.0,0.13,0.0
CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,79.0,16.79,2.17,0.39,0.1,1087.0,0.13,0.0
"KIELBASA,POLISH,TURKEY & BF,SMOKED",226.0,13.1,3.9,17.6,0.0,1200.0,6.23,0.0
OVEN-ROASTED CHICK BREAST ROLL,134.0,14.59,1.79,7.65,0.43,883.0,2.48,0.0
BOLOGNA  PORK & TURKEY  LITE,211.0,13.06,3.45,16.06,0.0,716.0,5.46,0.0
BOLOGNA  PORK  TURKEY & BF,336.0,11.56,6.66,29.25,1.35,1055.0,11.7,0.0
HAM  HONEY  SMOKED  CKD,122.0,17.93,7.27,2.37,0.0,900.0,1.167,0.0
"FRANKFURTER,PORK",269.0,12.81,0.28,23.68,0.0,816.0,8.719,0.0
MACARONI & CHS LOAF  CHICK  PORK & BF,228.0,11.76,11.63,14.96,0.0,3.0,5.614,0.0
SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,350.0,21.8,6.4,26.4,0.0,936.0,9.75,0.0
"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",95.0,20.9,1.31,0.69,0.0,1160.0,0.22,0.0
TURKEY  WHITE  ROTISSERIE  DELI CUT,112.0,13.5,7.7,3.0,4.0,1200.0,0.118,0.0
FRANKFURTER  BF  HTD,322.0,11.69,2.66,29.36,1.27,852.0,11.593,0.0
"SCRAPPLE,PORK",213.0,8.06,14.06,13.87,0.2,659.0,4.732,0.0
"BOLOGNA,CHICK,TURKEY,PORK",298.0,9.88,5.65,26.18,0.0,922.0,7.99,0.0
"PORK SAUSAGE,PRE-COOKED",378.0,14.49,0.0,35.04,0.0,752.0,11.662,0.0
"BEEF SAUSAGE,PRE-COOKED",405.0,15.5,0.03,37.57,0.0,910.0,15.098,0.0
"TURKEY SAUSAGE,FRSH,RAW",155.0,18.79,0.47,8.08,0.0,593.0,1.963,0.0
"BEEF SAUSAGE,FRSH,CKD",332.0,18.21,0.35,27.98,0.0,652.0,10.905,0.0
"PORK & TURKEY SAUSAGE,PRE-COOKED",342.0,12.05,3.63,30.64,0.0,876.0,9.881,0.0
"TURKEY SAUSAGE,FRSH,CKD",196.0,23.89,0.0,10.44,0.0,665.0,2.266,0.0
"BOLOGNA,CHICK,PORK,BF",272.0,11.33,5.61,22.73,0.0,1120.0,6.997,0.0
"BOLOGNA,CHICK,PORK",336.0,10.31,4.19,30.61,0.0,1240.0,9.863,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",260.0,13.14,74.24,4.9,15.69,258.0,0.64,0.0
"CEREALS RTE,POST,ALPHA-BITS",385.0,8.1,83.7,3.8,35.5,634.0,0.9,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",366.0,5.0,88.2,1.9,44.0,459.0,0.357,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",250.0,7.0,80.0,2.15,27.0,676.0,0.4,0.0
"CEREALS RTE,QUAKER,CAP'N CRUNCH",398.0,4.39,85.51,5.12,44.32,754.0,3.346,0.0
"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",397.0,4.45,85.9,4.83,44.2,725.0,3.076,0.0
"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",417.0,7.1,78.65,9.23,33.36,742.0,4.05,0.0
"CEREALS RTE,GENERAL MILLS,CHEERIOS",367.0,11.33,74.68,5.9,4.02,571.0,0.954,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",389.0,5.22,86.05,2.9,38.5,424.0,1.99,0.0
"CEREALS RTE,POST,COCOA PEBBLES",397.0,4.7,85.8,4.2,37.2,633.0,3.7,0.0
"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",385.0,3.85,84.62,3.85,38.46,577.0,0.592,0.0
"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",331.0,6.37,83.68,4.06,20.66,868.0,2.03,0.0
"CEREALS RTE,GENERAL MILLS CORN CHEX",387.0,6.45,83.87,1.61,9.68,774.0,0.39,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",365.0,6.61,87.11,0.59,10.5,723.0,0.172,0.0
"CEREALS RTE,CORN FLAKES,LO NA",399.0,7.7,88.8,0.3,6.11,10.0,0.041,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",402.0,8.0,71.8,13.9,31.5,309.0,6.1,0.0
"CEREALS RTE,RALSTON CRISPY RICE",364.0,6.69,86.22,1.26,7.65,763.0,0.36,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",318.0,10.0,79.0,2.0,17.0,715.0,0.4,0.0
"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",320.0,9.4,80.4,2.2,18.9,732.0,0.4,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",372.0,5.0,86.7,3.3,42.7,458.0,1.8,0.0
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",343.0,9.0,82.0,1.6,21.0,10.0,0.36,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",382.0,4.3,89.91319999999989,0.4,39.8,371.0,0.1,0.0
"CEREALS RTE,POST,FRUITY PEBBLES",400.0,4.3,86.2,4.0,38.0,630.0,3.6,0.0
"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",387.0,6.45,83.87,3.23,32.26,774.0,0.323,0.0
"CEREALS RTE,GRANOLA,HOMEMADE",489.0,14.85,53.25,24.06,20.0,25.0,4.058,0.0
"CEREALS RTE,POST,GRAPE-NUTS CRL",359.0,12.48,80.1,1.85,12.61,507.0,0.305,0.0
"CEREALS RTE,POST,GRAPE-NUTS FLAKES",369.0,9.5,81.9,3.7,15.1,431.0,0.5,0.0
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",393.0,7.14,78.57,5.36,32.14,571.0,0.0,0.0
"CEREALS RTE,POST,HONEYCOMB CRL",396.0,6.2,87.4,3.0,32.4,541.0,1.3,0.0
"CEREALS RTE,QUAKER,KING VITAMAN",381.0,6.41,83.85,3.44,20.27,825.0,1.584,0.0
"CEREALS RTE,GENERAL MILLS,KIX",367.0,7.69,82.82,3.46,9.76,633.0,0.576,0.0
"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",374.0,9.97,77.69,4.42,19.43,513.0,0.833,0.0
"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",407.0,7.41,81.48,3.7,37.04,630.0,0.615,0.0
"CEREALS RTE,POST,100% BRAN CRL",287.0,12.7,78.2,2.1,24.4,417.0,0.3,0.0
"CEREALS RTE,QUAKER,100% NAT GRANOLA,OATS,WHEAT & HONEY",421.0,10.55,73.65,11.62,20.34,50.0,1.265,0.0
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",375.0,6.25,87.5,3.13,28.13,625.0,0.529,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",333.0,7.7,83.0,1.4,13.3,690.0,0.3,0.0
"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",406.0,4.51,85.03,6.08,43.36,740.0,4.442,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",314.0,8.59,77.36,2.19,29.9,425.0,0.353,0.0
"CEREALS RTE,POST RAISIN BRAN CRL",320.0,8.0,78.1,1.7,32.1,424.0,0.314,0.0
"CEREALS RTE,GENERAL MILLS,RICE CHEX",370.0,7.41,85.19,1.0,7.41,889.0,0.22,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",381.0,6.84,85.24,0.96,10.9,561.0,0.216,0.0
"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",383.0,7.01,87.78,0.9,0.0,5.0,0.325,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",365.0,18.3,74.1,1.6,12.1,658.0,0.4,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",389.0,4.6,89.91319999999989,1.3,32.1,387.0,0.4,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",367.0,4.34,89.91319999999989,0.26,38.72,462.0,0.069,0.0
"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",386.0,6.4,89.0,1.8,56.0,186.0,0.3,0.0
"CEREALS RTE,POST,GOLDEN CRISP",390.0,5.8,89.91319999999989,1.3,50.9,94.0,0.2,0.0
"CEREALS RTE,RALSTON TASTEEOS",398.0,11.83,74.22,5.97,4.64,853.0,1.023,0.0
"CEREALS RTE,POST TOASTIES CORN FLAKES",360.0,6.7,86.7,0.1,6.5,714.0,0.0,0.0
"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",333.0,6.67,76.67,1.67,16.67,633.0,0.406,0.0
"CEREALS RTE,GENERAL MILLS,TRIX",375.0,3.13,84.38,4.69,31.25,563.0,0.67,0.0
"CEREALS RTE,POST,HONEY NUT SHREDDED WHEAT",374.0,8.4,83.6,2.9,20.7,102.0,0.4,0.0
"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",340.0,10.64,82.98,2.13,10.64,638.0,0.328,0.0
"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",394.0,4.0,89.91319999999989,0.34,43.6,871.0,0.165,0.0
"CEREALS RTE,WHEAT GERM,TSTD,PLN",382.0,29.1,49.6,10.7,7.8,4.0,1.83,0.0
"CEREALS RTE,QUAKER,KRETSCHMER HONEY CRUNCH WHEAT GERM",372.0,26.55,58.11,7.78,24.85,11.0,1.36,0.0
"CEREALS RTE,GENERAL MILLS,FRENCH TOAST CRUNCH",438.0,6.25,77.55,10.94,34.38,719.0,0.592,0.0
"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",379.0,6.9,79.31,3.45,20.69,552.0,0.531,0.0
"CEREALS RTE,GENERAL MILLS,WHEATIES",370.0,9.4,82.6,1.8,13.5,704.0,0.5,0.0
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,DRY",370.0,7.65,79.09,1.75,0.57,1.0,0.34,0.0
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",71.0,1.71,14.76,0.46,0.12,2.0,0.066,0.0
"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",359.0,7.31,76.02,2.14,1.51,1050.0,0.362,0.0
"CEREALS,QUAKER,CORN GRITS,INST,PLN,PREP,WO/ SALT",76.0,1.58,15.95,0.49,0.1,188.0,0.076,0.0
"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",366.0,8.37,73.08,5.97,2.13,1679.0,1.76,0.0
"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN BACON BITS,DRY",349.0,9.85,77.35,1.65,0.27,1219.0,0.24,0.0
"CEREALS,CRM OF RICE,DRY",370.0,6.3,82.4,0.5,0.12,6.0,0.136,0.0
"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",52.0,0.9,11.4,0.1,0.02,1.0,0.027,0.0
"CEREALS,CRM OF WHEAT,REG,10 MINUTE COOKING,DRY",370.0,10.5,76.5,1.5,0.2,7.0,0.238,0.0
"CEREALS,CRM OF WHEAT,REG (10 MINUTE),CKD W/ H2O,WO/ SALT",50.0,1.44,10.52,0.21,0.03,6.0,0.033,0.0
"CEREALS,FARINA,ENR,ASSORTED BRANDS,DRY",360.0,11.6,73.19,1.41,0.56,124.0,0.232,0.0
"CEREALS,FARINA,ENR,ASSORTED BRANDS,QUICK,CKD W/ H2O,WO/ SALT",55.0,1.82,10.92,0.34,0.76,18.0,0.066,0.0
"CEREALS,CREAM OF WHEAT,INST,DRY",366.0,10.6,75.5,1.4,0.4,15.0,0.222,0.0
"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",62.0,1.84,13.08,0.24,0.07,4.0,0.038,0.0
"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",53.0,1.82,10.92,0.34,0.76,18.0,0.066,0.0
"CEREALS,MALTEX,DRY",352.0,11.2,77.3,2.1,0.66,17.0,0.321,0.0
"CEREALS,MALTEX,CKD W/ H2O,WO/ SALT",76.0,2.29,15.81,0.43,0.13,5.0,0.069,0.0
"CEREALS,MALT-O-MEAL,PLN,DRY",361.0,11.8,75.6,1.27,1.1,10.0,0.299,0.0
"CEREALS,MAYPO,DRY",385.0,13.2,72.0,5.3,34.05,19.0,0.686,0.0
"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",71.0,2.4,13.3,1.0,6.26,4.0,0.175,0.0
"CEREALS,OATS,REG & QUICK,NOT FORT,DRY",379.0,13.15,67.7,6.52,0.99,6.0,1.11,0.0
"CEREALS,OATS,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",71.0,2.54,12.0,1.52,0.27,4.0,0.31,0.0
"CEREALS,OATS,INST,FORT,PLN,DRY",375.0,12.72,67.55,6.25,1.51,278.0,1.537,0.0
"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",68.0,2.37,11.67,1.36,0.46,49.0,0.267,0.0
"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,DRY",365.0,8.93,75.96,4.78,25.91,453.0,0.894,0.0
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY",370.0,8.59,76.97,4.67,33.7,482.0,0.808,0.0
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",107.0,2.4,21.52,1.31,9.42,135.0,0.226,0.0
"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",365.0,9.92,73.28,5.36,21.44,599.0,0.999,0.0
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY",360.0,7.76,76.31,4.27,36.31,485.0,0.8,0.0
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",100.0,2.07,20.32,1.14,9.67,151.0,0.198,0.0
"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",394.0,7.2,83.3,3.6,42.8,667.0,0.719,0.0
"CEREALS RTE,POST,OREO O'S CRL",415.0,4.8,81.9,8.8,47.0,475.0,1.6,0.0
"CEREALS,WHEATENA,DRY",357.0,13.1,75.6,2.9,1.6,13.0,0.43,0.0
"CEREALS,WHL WHEAT HOT NAT CRL,DRY",342.0,11.2,75.2,2.0,0.42,2.0,0.3,0.0
"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,WO/ SALT",62.0,2.0,13.7,0.4,0.08,0.0,0.06,0.0
"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT",366.0,16.26,76.39,2.15,1.37,5.0,0.413,0.0
"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR & SALT FREE",337.0,11.37,78.76,2.21,0.94,6.0,0.45,0.0
"CEREALS RTE,POST,SHREDDED WHEAT,SPOON-SIZE",351.0,11.8,81.4,2.1,0.9,2.0,0.4,0.0
"CEREALS,CORN GRITS,WHITE,REG & QUICK,UNENR,DRY",371.0,8.8,79.6,1.2,0.64,1.0,0.155,0.0
"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,DRY",368.0,6.72,79.91,1.49,0.55,2.0,0.29,0.0
"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",371.0,8.8,79.6,1.2,0.64,1.0,0.155,0.0
